Summary for 1C.fullBW.baseline_updatePythia
======================================================================================================================================================
Filename                                                                                   L1D_LOAD_Access  L1D_LOAD_MissRate(%)  L1D_PREFETCH_Access  L1D_PREFETCH_MissRate(%)  L2C_LOAD_Access  L2C_LOAD_MissRate(%)  L2C_PREFETCH_Access  L2C_PREFETCH_MissRate(%)  LLC_LOAD_Access  LLC_LOAD_MissRate(%)  LLC_PREFETCH_Access  LLC_PREFETCH_MissRate(%)  IPC
              Graph_Ligra_ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_15500M.length_250M  9667337         10.49                  1503207             95.16                       152057         40.85                   9031093            72.07                       37918          100.00                 1489351             100.00                    1.42
              Graph_Ligra_ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M 15598495         18.68                  1813610             70.24                      1692774         21.62                  11208052            59.01                      113616           42.34                 1746310              57.52                    1.92
        Graph_Ligra_ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_22250M.length_250M 15616311          9.18                  2661641             97.26                       217056         54.13                  16131645            70.09                       75402          100.00                 2643904             100.00                    1.33
                Graph_Ligra_ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_154750M.length_250M 19609481         14.94                  3232279             98.63                       139535         80.48                  17433417            81.67                      102515          100.00                 3112634             100.00                    1.53
                Graph_Ligra_ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_184750M.length_250M 31019800         18.08                  1201812             75.83                      1459666         79.14                   6636214            48.28                     1076659           98.17                 1501853              99.56                    1.07
Graph_Ligra_ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M 15522906         18.75                  1804454             70.53                      1692322         21.56                  11202106            59.10                      113775           42.37                 1748336              57.41                    1.92
Graph_Ligra_ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_22000M.length_250M 51190247         27.67                  4119681             66.68                     13638544         46.39                  24474070            39.40                     6308372           58.94                 8803122              67.56                    0.45
         Graph_Ligra_ligra_Components.com-lj.ungraph.gcc_6.3.0_O3.drop_15750M.length_250M 20247477         10.03                  2365534             90.50                       713932         12.26                  13807161            60.51                       71110          100.00                 2360879             100.00                    1.46
                Graph_Ligra_ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_15750M.length_250M 20390067         10.08                  2410329             92.38                       637171         16.95                  14465282            64.80                       64535          100.00                 2367377             100.00                    1.47
                Graph_Ligra_ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_21250M.length_250M 42391238         13.04                  4834226             58.67                      4908436          0.98                  21572568            10.28                       42943           92.93                 1377132              99.50                    1.87
           Graph_Ligra_ligra_PageRank.com-lj.ungraph.gcc_6.3.0_O3.drop_51000M.length_250M 39370706         43.77                  5839864             57.53                     16881242         16.69                  26520091            17.06                     2793398           60.24                 4092176              69.31                    1.14
      Graph_Ligra_ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M 15537174         18.88                  1836794             70.46                      1698899         21.70                  11321361            58.97                      115813           41.87                 1767126              57.12                    1.91
      Graph_Ligra_ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_24000M.length_250M 26696347         20.54                  2757642             81.68                      4391549         31.17                  18088948            54.78                      860607           63.04                 3174917              87.99                    1.07
       Graph_Ligra_ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_6000M.length_250M 32964164          5.56                  1526809             90.34                       776146         76.01                  10159233            71.58                      161094          100.00                 1751030             100.00                    1.05
              Graph_Ligra_ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_24500M.length_250M 44118895         23.65                  6857130             65.74                      9536711          6.52                  28973732            15.03                      604655           60.68                 3182936              89.76                    0.93
              Graph_Ligra_ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M 38886834         20.95                  2255307             87.81                      6101957         83.57                  16205521            57.68                     4894296           95.36                 7422851              94.41                    0.29
           Graph_Ligra_ligra_Triangle.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M 45143123         11.72                  3042738             91.47                      4922682         24.72                  17394014            25.27                     1207168           42.98                 3599758              75.24                    0.77
                                                                   SPEC17_602.gcc_s-1850B 34650693          5.82                  5006365             83.73                       825539         15.48                  25758224            56.24                      101745           99.99                 3513339              99.99                    1.16
                                                                    SPEC17_602.gcc_s-734B 29223183          3.25                  3420147             96.07                       404363         21.89                  21149372            33.22                       69587           78.91                 1936010              88.96                    1.89
                                                                SPEC17_603.bwaves_s-1740B 48142124          2.74                  2960984             91.41                      1229056         16.48                  14316788            40.27                      129373           99.99                 3573933              99.98                    2.31
                                                                 SPEC17_603.bwaves_s-891B 33719453          5.93                  3845942             99.30                       190464         87.26                  23512079            85.56                      165308           99.78                 3694975              99.93                    1.65
                                                                   SPEC17_605.mcf_s-1536B 32188609         39.24                  3829611             91.93                      9126043         10.70                  31466759            15.86                      975130           96.70                 4357963              96.99                    0.67
                                                                   SPEC17_605.mcf_s-1554B 72097882         22.31                 25206178             96.40                     10164613         64.42                  91413462            60.90                     5473993           26.47                38138108              37.75                    0.64
                                                                   SPEC17_605.mcf_s-1644B 46498639          9.40                  8231877             97.35                      3917447         23.30                  29322672            33.32                      903830           46.93                 7383046              86.94                    0.23
                                                                    SPEC17_605.mcf_s-472B 51620055         12.95                  8616388             90.50                      4276369         64.64                  38602841            64.96                     1862264           78.25                12736855              82.99                    0.69
                                                                    SPEC17_605.mcf_s-484B 46770938          6.19                  4666283             84.36                      2081574         54.07                  20311418            54.52                      863495           99.22                 6707198              99.02                    0.76
                                                             SPEC17_607.cactuBSSN_s-2421B 31369331         70.41                  6297871             39.58                     21341932          0.18                  18967238             7.93                       37318           99.99                 1494200              99.97                    2.65
                                                                   SPEC17_619.lbm_s-2676B  7128117          6.97                  1108593             88.96                       387737         41.36                   6253470            49.27                       82208          100.00                 1250346             100.00                    1.10
                                                                   SPEC17_619.lbm_s-2677B  7675731         21.96                  1500377             67.76                      1525185         33.21                   8403065            51.54                      221428          100.00                 2174720             100.00                    0.61
                                                                SPEC17_620.omnetpp_s-874B 38741189          9.37                  4135781             38.07                      2924541         40.29                   7591745            48.02                     1140821           80.51                 2801558              93.52                    0.57
                                                                   SPEC17_621.wrf_s-6673B 29453528          4.45                  2708980             87.79                       711147         28.48                  13590618            34.22                      126835           75.16                 1839090              81.02                    2.19
                                                               SPEC17_623.xalancbmk_s-10B 41960867         20.68                  4404465             81.87                      4474595         73.01                  18071877            68.09                     2966424           62.22                 8674454              83.78                    0.66
                                                             SPEC17_649.fotonik3d_s-1176B 28759543          3.99                  2621213             98.11                       124832         48.82                  16014401            59.33                       52924          100.00                 1701324             100.00                    2.69
                                                             SPEC17_649.fotonik3d_s-7084B 31840459          2.11                  3333128             90.47                       397829         21.06                  18895102            37.63                       42104           99.97                 3438474             100.00                    2.08
                                                                   SPEC17_654.roms_s-293B 41401641          1.04                  2497405             78.83                       208768         18.56                  12344586            26.97                       35438           97.67                 1655385              95.14                    2.80
                                                                   SPEC17_654.roms_s-294B 49080263          0.79                  3328445             77.12                        96710         55.13                  15012833            31.34                       50061           99.87                 2289949              99.82                    2.57
                                                                   SPEC17_654.roms_s-523B 39429918          4.50                  3231422             94.51                       274012         56.00                  18150001            61.73                      102327           95.38                 3351212              93.21                    1.60
                                             ai-ml_bark.cpp-bark-small.coarse_token_gen.1 48724166          3.73                  1836110             78.06                      1169660         48.16                   7855553            45.65                      296448           47.14                  899921              52.89                    3.18
                                             ai-ml_bark.cpp-bark-small.coarse_token_gen.2 51222124         20.68                  7811138             63.65                      8973667          6.27                  17177602            15.84                      336211           65.95                 1075271              65.89                    2.96
                                             ai-ml_bark.cpp-bark-small.coarse_token_gen.4 52363235         23.52                  9045248             58.73                     10664375          7.47                  23220239            19.98                      270940           73.52                 1163617              80.97                    2.56
                                             ai-ml_bark.cpp-bark-small.coarse_token_gen.5 29337389         35.61                  5173143             74.26                      7684194         24.48                  21846369            65.73                     1075922           91.42                 3899923              95.72                    1.76
                                                ai-ml_biogpt.cpp-ggml-model-tocilizumab.1 60258305         46.10                 13770198             81.40                     21650437         83.85                  57733055            91.96                     7894430           99.68                19312397              99.36                    0.52
                                                ai-ml_biogpt.cpp-ggml-model-tocilizumab.2 62013279         46.70                 14340010             87.44                     20269263         83.76                  59803057            93.01                     6609265           99.66                19767709              99.43                    0.53
                                                ai-ml_biogpt.cpp-ggml-model-tocilizumab.3 61733720         47.10                 14355288             87.92                     20925392         84.72                  66541724            94.41                     7337461           99.64                19822552              99.30                    0.52
                                                                       ai-ml_clip_trace_1 48362610          4.54                 10534309             16.80                       723242         21.86                   8547506            35.10                      102186           84.72                  627034              84.69                    3.47
                                                                       ai-ml_clip_trace_3 48007231          5.08                  8822309             20.66                       867222         32.17                   9480599            38.71                      147248           81.85                  797934              85.48                    3.12
                                                             ai-ml_llama2.c-stories110M.1 36025335         36.28                  6094667             98.57                      1696110         92.50                  31483514            93.44                      783054           99.48                 6220739              99.37                    1.59
                                                             ai-ml_llama2.c-stories110M.2 36879668         37.09                  6150755             98.71                      1630862         92.65                  32042168            93.86                      750202           99.46                 6254124              99.36                    1.59
                                                             ai-ml_llama2.c-stories110M.3 37293686         37.81                  6230136             98.69                      1511192         92.16                  31653810            91.98                      767491           99.42                 6236587              99.34                    1.58
                                                              ai-ml_llama2.c-stories15M.1 36407166         29.19                  6037548             97.18                      1196759         83.37                  29120808            84.13                      698850           96.24                 6047640              96.01                    1.73
                                                              ai-ml_llama2.c-stories15M.2 36813375         28.78                  5935333             96.95                      1223075         83.12                  29175360            84.44                      669042           96.12                 5946770              95.77                    1.72
                                                              ai-ml_llama2.c-stories15M.3 36757975         27.44                  5892682             97.18                      1261458         85.04                  30181011            87.83                      553781           95.86                 6056584              95.82                    1.83
                                                              ai-ml_llama2.c-stories42M.1 36559448         34.20                  6349467             98.26                      1171695         88.83                  32890449            94.06                      490100           98.82                 6453695              98.76                    1.78
                                                              ai-ml_llama2.c-stories42M.2 37024041         33.88                  6410992             98.19                      1105501         88.74                  33005360            93.91                      472756           98.53                 6464330              98.26                    1.78
                                                              ai-ml_llama2.c-stories42M.3 36768749         34.01                  6389468             98.36                      1124260         88.71                  33023466            94.04                      475995           98.56                 6466001              98.27                    1.78
                                                                       ai-ml_rwkv_trace_1 34655877         93.75                  1911620             21.61                     32375113         35.81                 103703044            52.45                     4672849          100.00                27977603             100.00                    0.11
                                                                       ai-ml_rwkv_trace_2 54709157         40.76                 11712327             88.11                     15814650         84.26                  44443380            85.64                     6886637           99.83                14497659              99.85                    0.58
                                                ai-ml_stable-diffusion.cpp-sd-v1-4.ckpt.1 61746115         75.38                 20027511             66.85                     40820778          4.51                  23083390            16.83                     1077772           65.49                 1359787              76.67                    2.26
                                                ai-ml_stable-diffusion.cpp-sd-v1-4.ckpt.2 58577069         37.49                 15627272             63.77                     19014836          5.07                  31723480            10.01                      360045           97.15                 1143919              97.33                    2.60
                                         ai-ml_stable-diffusion.cpp-v1-5-pruned-emaonly.2 50611502         50.48                 13477069             69.28                     22011562          3.51                  19629666             8.31                      523673           53.57                  745347              63.08                    2.57
                                      ai-ml_stable-diffusion.cpp-v2-1_768-nonema-pruned.1 78076000         40.36                 17206537             40.94                     29313190          5.59                  30840910             8.92                      582605           68.20                 1524631              74.53                    1.79
                                      ai-ml_stable-diffusion.cpp-v2-1_768-nonema-pruned.2 60564338         39.02                 17409100             49.60                     20811776          5.09                  32377698             9.06                      429528           89.93                 1136735              90.80                    2.53
                                      ai-ml_stable-diffusion.cpp-v2-1_768-nonema-pruned.3 58534484         37.43                 15625950             63.99                     18970897          5.10                  32891986             8.15                      500415           97.80                 1003625              97.05                    2.60
                                       ai-ml_vit.cpp-base-ggml-model-f16.gguf.armadillo.1 48649367         11.52                  8609451             90.73                      2726168          8.52                  29352154            11.35                      114746           71.29                  772716              79.37                    3.29
                                      ai-ml_vit.cpp-large-ggml-model-f16.gguf.armadillo.1 48648149          7.07                  4769276             88.80                      1579656         13.14                  15611906            12.53                      133396           88.33                  707371              85.91                    3.36
                                                                    ai-ml_whisper_trace_1 52478540          6.96                 10364204             15.62                      3009744         29.69                  13018523            39.07                      273809           76.43                 1046052              87.01                    2.90
                                                                    ai-ml_whisper_trace_2 52279648          6.56                 11397850             15.23                      2731191         30.98                  12239214            40.05                      290699           74.61                 1028536              84.11                    2.92
                                                                    ai-ml_whisper_trace_3 52375293          6.62                 10241282             15.66                      2808095         30.58                  12799027            38.68                      286561           74.92                 1033834              84.50                    2.92
                                                                  gtraces_v2_arizona_0000 32834746          1.68                   753609             59.33                       493450         44.45                   3681773            26.80                      102602           88.12                  506209              90.26                    1.72
                                                                  gtraces_v2_arizona_0001 33218690          1.92                   797469             59.75                       566049         51.25                   4449076            31.61                      127978           81.41                  470077              85.63                    1.72
                                                                  gtraces_v2_arizona_0002 24181724          2.87                   992581             72.16                       623715         41.06                   4396155            33.33                      232616           76.01                  743668              89.08                    1.98
                                                                  gtraces_v2_charlie_0000 33068706          1.77                   957062             66.47                       953183         15.47                   5689386            25.10                      125412           93.82                  874572              98.59                    1.35
                                                                  gtraces_v2_charlie_0001 33620703          2.86                  1481884             71.68                      1612889         10.88                   9807903            22.34                      144908           92.78                 1179938              97.74                    1.26
                                                                  gtraces_v2_charlie_0002 32202727          5.20                  1750845             69.07                      2149226         23.85                  10828213            29.41                      459339           86.25                 1844116              97.23                    0.86
                                                                  gtraces_v2_charlie_0003 31501871         12.72                  2676736             67.81                      3986170         20.11                  12151087            27.10                      700800           86.14                 1983909              95.23                    0.78
                                                                  gtraces_v2_charlie_0004 30631834          4.35                  1889809             41.74                      1729590         26.31                   6569715            33.08                      405544           90.75                 1362161              93.65                    0.99
                                                                   gtraces_v2_merced_0000 33026188          7.79                  3436732             33.26                      2527878         26.14                   9394909            32.23                      570790           83.62                 1684480              88.21                    0.77
                                                                   gtraces_v2_merced_0001 33675593          9.13                  2796269             58.22                      3968975         28.85                  16217654            28.63                     1006024           87.53                 2749736              89.98                    0.60
                                                                   gtraces_v2_merced_0002 30863629          7.43                  2347333             59.08                      3218202         31.53                  14065174            36.65                      848092           84.42                 2749085              89.69                    0.63
                                                                   gtraces_v2_merced_0003 30895599          8.62                  2346388             56.60                      3523284         33.48                  13590082            37.08                     1027814           90.34                 2800898              92.55                    0.59
                                                                   gtraces_v2_merced_0004 29044780          8.17                  2455831             58.35                      3255605         28.07                  13471621            34.30                      779079           83.05                 2492609              88.88                    0.67
                                                               gtraces_v2_sierra.a.3_0000 35831789          9.46                  2964643             50.29                      9332652         18.42                  29978452            24.21                     1465910           70.58                 3991514              73.78                    0.45
                                                               gtraces_v2_sierra.a.3_0001 33932400          7.56                  2733913             41.56                      7016317         18.45                  23087927            23.30                     1099945           72.49                 2992431              75.27                    0.55
                                                               gtraces_v2_sierra.a.3_0002 34173474          8.08                  2761837             42.88                      7473279         18.31                  24266792            23.19                     1153551           73.02                 3120545              75.23                    0.53
                                                               gtraces_v2_sierra.a.3_0003 35542864          9.09                  3034531             48.33                      7509945         18.18                  25629509            24.19                     1125355           76.01                 3216608              78.50                    0.53
                                                               gtraces_v2_sierra.a.3_0004 35977132          9.16                  3074787             48.27                      7916047         18.21                  26907676            23.73                     1192373           73.55                 3395960              75.76                    0.51
                                                               gtraces_v2_sierra.a.4_0000 36200060          9.93                  3002239             54.22                      6858613         24.65                  24181194            31.04                     1378749           83.22                 3785563              85.21                    0.45
                                                               gtraces_v2_sierra.a.4_0001 37563127         10.74                  3117353             55.10                      8874480         24.15                  29190920            30.35                     1766533           76.97                 4651613              79.87                    0.39
                                                               gtraces_v2_sierra.a.4_0002 34925238         10.25                  2546394             56.32                      8151199         24.31                  26743248            30.66                     1654053           77.41                 4381033              80.98                    0.40
                                                               gtraces_v2_sierra.a.4_0003 34216402          9.59                  2473213             55.38                      6525203         25.76                  21659673            31.81                     1413099           81.83                 3783426              84.92                    0.45
                                                               gtraces_v2_sierra.a.4_0004 33208975         10.63                  2661443             64.02                      5938954         26.92                  21068218            36.72                     1309015           85.10                 4114297              89.26                    0.47
                                                               gtraces_v2_sierra.a.6_0000 34967861          9.79                  2520807             52.85                     10070672         13.16                  30767169            16.25                     1154226           78.96                 3013279              79.90                    0.50
                                                               gtraces_v2_sierra.a.6_0001 33906829         11.62                  3169766             65.35                      9609112         17.11                  32081525            27.33                     1342059           80.25                 4556420              86.04                    0.46
                                                               gtraces_v2_sierra.a.6_0002 34815234          9.53                  2422457             53.78                      9711255         15.99                  29828961            19.97                     1339118           76.72                 3490658              77.87                    0.47
                                                               gtraces_v2_sierra.a.6_0003 34875808         10.66                  2818970             58.60                     10085987         16.46                  32101968            22.96                     1397066           78.35                 4069486              81.77                    0.45
                                                               gtraces_v2_sierra.a.6_0004 35378303          9.83                  2544335             52.75                     10345836         13.75                  31530657            17.18                     1234999           76.12                 3235758              77.19                    0.48
                                                                    gtraces_v2_tahoe_0000 36417139          4.93                  1480022             57.00                      2927661         31.92                  10513261            38.65                      796434           82.98                 2296507              84.94                    0.65
                                                                    gtraces_v2_tahoe_0001 35087823          6.97                  1931542             59.34                      3664697         34.30                  13338475            41.50                     1051871           87.80                 2914644              89.44                    0.54
                                                                    gtraces_v2_tahoe_0002 31359831          8.25                  1829803             68.78                      1784596         39.29                   7071210            47.79                      648156           87.45                 1834945              88.39                    0.75
                                                                    gtraces_v2_tahoe_0003 34843335          6.60                  1989913             55.32                      3881069         29.93                  13784507            38.02                      968260           79.90                 2868240              84.12                    0.55
                                                                    gtraces_v2_tahoe_0004 36927283          4.85                  1472514             57.10                      2635814         32.29                   9498797            40.24                      715218           84.11                 2041308              86.91                    0.66
                                                                    gtraces_v2_tango_0000 32253353          6.88                  1950982             47.84                      4555316         18.27                  15147008            21.40                      742882           77.99                 2091237              80.69                    0.61
                                                                    gtraces_v2_tango_0001 29641234          6.91                  1619843             51.67                      3128629         24.47                  10591007            25.70                      703338           86.70                 1733531              87.20                    0.70
                                                                    gtraces_v2_tango_0002 32640239          6.83                  2105148             48.99                      4429169         17.57                  15322566            20.65                      695309           75.93                 2054015              78.84                    0.63
                                                                    gtraces_v2_tango_0003 31949675          7.35                  1904959             49.05                      4442505         21.38                  14559368            24.38                      851822           76.32                 2321088              80.16                    0.58
                                                                    gtraces_v2_tango_0004 31437621          6.87                  1759278             48.72                      3944477         21.09                  13041543            24.28                      743075           74.28                 2063091              81.23                    0.63
                                                                   gtraces_v2_yankee_0000 34393884          6.49                  2204695             60.50                      3966431         30.22                  16384864            35.07                      982584           78.06                 3083222              82.91                    0.57
                                                                   gtraces_v2_yankee_0001 34238411          6.29                  2190794             60.17                      3684449         30.82                  15795302            35.13                      930893           75.38                 3006275              80.89                    0.59
                                                                   gtraces_v2_yankee_0002 32582607          5.44                  1975229             56.57                      2972103         29.27                  12707481            32.82                      722625           68.92                 2300686              77.65                    0.74
                                                                   gtraces_v2_yankee_0003 34509730          6.34                  2195369             60.66                      3893328         30.20                  16292380            34.74                      966092           69.02                 3057497              78.16                    0.60
                                                                   gtraces_v2_yankee_0004 34464128          6.45                  2264280             60.78                      3796049         30.11                  16332142            34.29                      951068           67.08                 3061358              75.43                    0.60
